episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.83,-394506235,56134,4315,843.6
2,0506,1.42,-1518037120,49547,5669,3121.0
3,0506,0.51,-136909080,56354,4310,384.6
4,0507,1.25,-398370387,38063,8439,849.1
5,0505,0.74,-5844567,40360,8063,56.5
6,0506,1.48,-761892430,39152,8201,1722.8
7,0506,1.45,-754425019,40978,7858,1973.3
8,0506,1.37,-321571882,47556,6459,967.2
9,0506,1.41,-490710783,51844,5721,1312.4
10,0507,1.36,-116666445,53335,5277,315.8
11,0506,0.65,-1412918,49776,5994,79.8
12,0507,1.39,-85687025,50074,5992,268.8
13,0506,0.78,-8353453,49930,5951,101.7
14,0506,1.17,-199265653,49644,6023,577.3
15,0506,1.19,-197307138,49633,6025,479.0
16,0507,1.55,-209367707,47994,6445,479.9
17,0505,1.29,-77184517,49727,6043,201.2
18,0506,0.72,-7740040,49820,5978,91.9
19,0506,1.54,-490333492,45585,6927,1065.8
20,0506,0.80,-51978333,46146,6760,146.6
